Id,Label,Domain,Phylum,Class,Order,Family,Genus,OTU.rep,Name
1242,OTU1242,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncultured,,HQ672763.1.1478,f_uncultured
807,OTU807,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Deep 1,,HQ674077.1.1446,f_Deep 1
1391,OTU1391,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,HQ674118.1.1512,f_SAR406 clade(Marine group A)
1572,OTU1572,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Sva0996 marine group,,HQ672500.1.1485,f_Sva0996 marine group
1280,OTU1280,Bacteria,Cyanobacteria,Chloroplast,,,,HQ671933.1.1447,c_Chloroplast
1124,OTU1124,Bacteria,Cyanobacteria,Chloroplast,,,,HQ672062.1.1463,c_Chloroplast
2067,OTU2067,Bacteria,Cyanobacteria,Chloroplast,,,,AY664169.1.1279,c_Chloroplast
357,OTU357,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU802696.1.1439,f_Surface 1
3029,OTU3029,Bacteria,Candidate division OD1,,,,,AB193914.1.1558,p_Candidate division OD1
2951,OTU2951,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Herbiconiux,FJ825783.1.1479,g_Herbiconiux
2992,OTU2992,Bacteria,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Pelagicoccus,KC001632.1.1388,g_Pelagicoccus
640,OTU640,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,HQ671887.1.1246,f_Surface 1
1691,OTU1691,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,uncultured,AY770963.1.1477,g_uncultured
499,OTU499,Bacteria,Cyanobacteria,Chloroplast,,,,EU237456.1.1310,c_Chloroplast
1050,OTU1050,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,EF573979.1.1443,g_Prochlorococcus
1110,OTU1110,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,HQ672859.1.1508,f_SAR406 clade(Marine group A)
979,OTU979,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Deep 1,,HQ672326.1.1437,f_Deep 1
1024,OTU1024,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Deep 1,,GQ377765.1.1255,f_Deep 1
476,OTU476,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,,EU802815.1.1448,f_SAR116 clade
468,OTU468,Bacteria,Cyanobacteria,Chloroplast,,,,JN117275.38398.39880,c_Chloroplast
396,OTU396,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,FR683618.1.1414,f_Surface 1
436,OTU436,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,HQ242546.1.1435,f_Surface 1
650,OTU650,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,FR684885.1.1494,f_SAR86 clade
761,OTU761,Bacteria,Cyanobacteria,Chloroplast,,,,GU235602.1.1346,c_Chloroplast
433,OTU433,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,FR684960.1.1420,f_Surface 1
537,OTU537,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU799308.1.1374,f_Surface 1
764,OTU764,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU800224.1.1388,f_Surface 1
509,OTU509,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,FR684247.1.1444,f_Surface 1
2301,OTU2301,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,FR684766.1.1486,f_SAR86 clade
1393,OTU1393,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,uncultured,EU800996.1.1423,g_uncultured
1183,OTU1183,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,FR685247.1.1424,f_Surface 1
747,OTU747,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,ZD0405,,HQ163262.1.1344,f_ZD0405
1397,OTU1397,Bacteria,Cyanobacteria,Chloroplast,,,,EU268108.1.1451,c_Chloroplast
498,OTU498,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,FR685627.1.1379,f_Surface 1
1900,OTU1900,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter clade DC5-80-3 lineage,GQ337292.1.1461,g_Roseobacter clade DC5-80-3 lineage
1300,OTU1300,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinobacterium,FR684349.1.1497,g_Marinobacterium
1398,OTU1398,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,SAR92 clade,AY697919.1.1436,g_SAR92 clade
1254,OTU1254,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,FR684227.1.1444,f_SAR86 clade
670,OTU670,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,ZD0405,,JN832936.1.1411,f_ZD0405
1181,OTU1181,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Sufflavibacter,EU919846.1.1477,g_Sufflavibacter
1139,OTU1139,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Sufflavibacter,GU235590.1.1367,g_Sufflavibacter
1743,OTU1743,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,JL-ETNP-Y6,,GU234830.1.1378,f_JL-ETNP-Y6
1672,OTU1672,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,HQ672842.1.1478,o_SAR324 clade(Marine group B)
2052,OTU2052,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Sva0996 marine group,,HQ672502.1.1488,f_Sva0996 marine group
1687,OTU1687,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Salinisphaeraceae,ZD0417 marine group,HQ673473.1.1519,g_ZD0417 marine group
4246,OTU4246,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,EU286985.1.1497,g_Colwellia
2651,OTU2651,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,JL-ETNP-Y6,,HQ673394.1.1502,f_JL-ETNP-Y6
4720,OTU4720,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,GU061318.1.1455,g_Colwellia
1594,OTU1594,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,AHCC01000059.1.1362,g_Pseudoalteromonas
1834,OTU1834,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,AY664286.1.1235,g_Pseudoalteromonas
1901,OTU1901,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,AY664287.1.1272,g_Pseudoalteromonas
1783,OTU1783,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,JX436398.1.1386,g_Pseudoalteromonas
1788,OTU1788,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,AY726970.1.1273,g_Pseudoalteromonas
207,OTU207,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,GU235821.1.1320,o_SAR11 clade
414,OTU414,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EU803075.1.1449,o_SAR11 clade
403,OTU403,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,AF382133.1.1488,f_SAR86 clade
