438,OTU438,Bacteria,Proteobacteria,Gammaproteobacteria,Order Incertae Sedis,Family Incertae Sedis,Marinicella,EF572504.1.1492,g_Marinicella,Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;uncultured;
232,OTU232,Bacteria,Proteobacteria,Alphaproteobacteria,OCS116 clade,,,EF572586.1.1452,o_OCS116 clade,Bacteria;Proteobacteria;Alphaproteobacteria;Parvibaculales;OCS116 clade;
169,OTU169,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EF572587.1.1496,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
338,OTU338,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,,EF572745.1.1469,f_S25-593,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;S25-593;
511,OTU511,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EF572756.1.1449,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;Clade Ib;
581,OTU581,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,OM75 clade,EF572785.1.1464,g_OM75 clade,Bacteria;Proteobacteria;Alphaproteobacteria;Thalassobaculales;Nisaeaceae;OM75 clade;
725,OTU725,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,EF572866.1.1525,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
887,OTU887,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Marinoscillum,EF573011.1.1496,g_Marinoscillum,Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Marinoscillum;
335,OTU335,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS4 marine group,EF573025.1.1502,g_NS4 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS4 marine group;
497,OTU497,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Marinoscillum,EF573122.1.1485,g_Marinoscillum,Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Marinoscillum;
423,OTU423,Bacteria,Proteobacteria,Deltaproteobacteria,Sh765B-TzT-29,,,EF573230.1.1478,o_Sh765B-TzT-29,Bacteria;Dadabacteria;Dadabacteriia;Dadabacteriales;
304,OTU304,Bacteria,Proteobacteria,Alphaproteobacteria,OCS116 clade,,,EF573369.1.1458,o_OCS116 clade,Bacteria;Proteobacteria;Alphaproteobacteria;Parvibaculales;OCS116 clade;
391,OTU391,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EF573375.1.1449,o_SAR11 clade,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
313,OTU313,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Sva0996 marine group,,EF573463.1.1480,f_Sva0996 marine group,Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group;
300,OTU300,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EF573689.1.1488,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
1315,OTU1315,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,EF573752.1.1474,o_SAR324 clade(Marine group B),Bacteria;SAR324 clade(Marine group B);
530,OTU530,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,,EF573781.1.1448,f_SAR116 clade,Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;SAR116 clade;
1605,OTU1605,Bacteria,Cyanobacteria,Chloroplast,,,,EF573851.1.1447,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
386,OTU386,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EF574040.1.1487,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
153,OTU153,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,EF574119.1.1500,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
755,OTU755,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,EF574195.1.1480,g_Alteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;
179,OTU179,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EF574241.1.1490,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
195,OTU195,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Oceanobacter,EF574264.1.1492,g_Oceanobacter,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Saccharospirillaceae;Oceanobacter;
2081,OTU2081,Bacteria,Cyanobacteria,Chloroplast,,,,EF574288.1.1436,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
1889,OTU1889,Bacteria,Lentisphaerae,Lentisphaeria,R76-B128,,,EF574345.1.1539,o_R76-B128,Bacteria;Verrucomicrobiota;Kiritimatiellae;Kiritimatiellales;Kiritimatiellaceae;R76-B128;
1318,OTU1318,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,EF574353.1.1482,g_OM27 clade,Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;OM27 clade;
68,OTU68,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,EF574411.1.1527,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
482,OTU482,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,EF574604.1.1446,g_Alteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;
803,OTU803,Bacteria,Verrucomicrobia,Opitutae,MB11C04 marine group,,,EF574610.1.1506,o_MB11C04 marine group,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;MB11C04 marine group;
294,OTU294,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS4 marine group,EF574626.1.1492,g_NS4 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS4 marine group;
382,OTU382,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,,EF574651.1.1468,f_S25-593,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;S25-593;
260,OTU260,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS4 marine group,EF574657.1.1483,g_NS4 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS4 marine group;
612,OTU612,Bacteria,Cyanobacteria,Chloroplast,,,,EF574674.1.1443,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
577,OTU577,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,EF574718.1.1497,g_Alteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;
478,OTU478,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,uncultured,EF574734.1.1477,g_uncultured,Bacteria;Proteobacteria;Alphaproteobacteria;uncultured;
287,OTU287,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS4 marine group,EF574788.1.1492,g_NS4 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS4 marine group;
908,OTU908,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Cryomorphaceae,NS7 marine group,EF574837.1.1497,g_NS7 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;NS7 marine group;
364,OTU364,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,EF574859.1.1503,o_SAR324 clade(Marine group B),Bacteria;SAR324 clade(Marine group B);
953,OTU953,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,uncultured,,EF574964.1.1522,f_uncultured,Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;
795,OTU795,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Defluviicoccus,EF574980.1.1467,g_Defluviicoccus,Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;uncultured;
643,OTU643,Bacteria,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,marine group,EF575015.1.1520,g_marine group,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Lentimonas;
1675,OTU1675,Bacteria,Cyanobacteria,Chloroplast,,,,EF575192.1.1449,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
452,OTU452,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,EF575193.1.1476,o_SAR324 clade(Marine group B),Bacteria;SAR324 clade(Marine group B);
932,OTU932,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,EF575316.1.1499,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
1343,OTU1343,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,EF584014.1.1439,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
2896,OTU2896,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,EF584015.1.1461,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
2564,OTU2564,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,EF584090.1.1428,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
1023,OTU1023,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,EF584092.1.1434,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
2255,OTU2255,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,EF584102.1.1469,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
989,OTU989,Archaea,Thaumarchaeota,Marine Group I,,,,EF597695.1.942,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;
1599,OTU1599,Archaea,Thaumarchaeota,Marine Group I,,,,EF597697.1.952,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopelagicus;
1180,OTU1180,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,,EF597698.1.1403,f_Marine Group II,Archaea;Thermoplasmatota;Thermoplasmata;Marine Group II;
638,OTU638,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Cryomorphaceae,Owenweeksia,EF645948.1.1485,g_Owenweeksia,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;uncultured;
830,OTU830,Bacteria,Proteobacteria,Deltaproteobacteria,Sh765B-TzT-29,,,EF646119.1.1485,o_Sh765B-TzT-29,Bacteria;Dadabacteria;Dadabacteriia;Dadabacteriales;
345,OTU345,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,NS9 marine group,,EF646132.1.1480,f_NS9 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;NS9 marine group;
2132,OTU2132,Bacteria,Cyanobacteria,Chloroplast,,,,EU005678.1.1414,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
328,OTU328,Bacteria,Proteobacteria,Gammaproteobacteria,Order Incertae Sedis,Family Incertae Sedis,Marinicella,EU010164.1.1471,g_Marinicella,Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;uncultured;
1191,OTU1191,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,EU010224.1.1421,g_Thiothrix,Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;uncultured;
2917,OTU2917,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,EU050780.1.1423,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
1132,OTU1132,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,EU136629.1.1439,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
1736,OTU1736,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,EU188189.1.1494,g_Alteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;
4327,OTU4327,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Cryomorphaceae,Owenweeksia,EU236386.1.1368,g_Owenweeksia,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;uncultured;
728,OTU728,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,,EU237342.1.1352,f_OCS155 marine group,Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina;
539,OTU539,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group,EU237459.1.1302,g_AEGEAN-169 marine group,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;AEGEAN-169 marine group;
1150,OTU1150,Bacteria,Cyanobacteria,Chloroplast,,,,EU259787.1.1453,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
794,OTU794,Bacteria,Cyanobacteria,Chloroplast,,,,EU268117.1.1452,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
4136,OTU4136,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,EU287171.1.1505,g_Colwellia,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Colwellia;
966,OTU966,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,EU333882.1.1464,g_Pseudomonas,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;
4,OTU4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group,EU394547.1.1451,g_AEGEAN-169 marine group,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;AEGEAN-169 marine group;
1162,OTU1162,Bacteria,Cyanobacteria,Chloroplast,,,,EU394562.1.1447,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
2806,OTU2806,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Polaribacter,EU394574.1.1482,g_Polaribacter,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Aurantivirga;
3663,OTU3663,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,EU434433.1.1417,g_Psychrobacter,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;
1862,OTU1862,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,uncultured,EU488272.1.1451,g_uncultured,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Altererythrobacter;
1748,OTU1748,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,EU491156.1.1522,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
1085,OTU1085,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Balneatrix,EU544738.1.1465,g_Balneatrix,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae;uncultured;
411,OTU411,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EU544748.1.1454,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
1885,OTU1885,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Balneatrix,EU544808.1.1486,g_Balneatrix,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae;uncultured;
1322,OTU1322,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EU544837.1.1428,o_SAR11 clade,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
1677,OTU1677,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,,EU570897.1.1483,f_OCS155 marine group,Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina;
3252,OTU3252,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Stakelama,EU581829.1.1412,g_Stakelama,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Stakelama;
567,OTU567,Bacteria,Cyanobacteria,Chloroplast,,,,EU592338.1.1399,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
4540,OTU4540,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,EU617783.1.1502,g_Colwellia,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Colwellia;
4837,OTU4837,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,EU617785.1.1505,g_Photobacterium,Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Photobacterium;
616,OTU616,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,,EU650238.1.1337,f_Marine Group II,Archaea;Thermoplasmatota;Thermoplasmata;Marine Group II;
2790,OTU2790,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group III,,EU650260.1.1318,f_Marine Group III,Archaea;Thermoplasmatota;Thermoplasmata;Marine Group III;
2533,OTU2533,Bacteria,Lentisphaerae,Lentisphaeria,Victivallales,Victivallaceae,uncultured,EU686587.16947.18447,g_uncultured,Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales;Arctic95B-14;
582,OTU582,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Sva0996 marine group,,EU686588.13514.15011,f_Sva0996 marine group,Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group;
376,OTU376,Bacteria,Verrucomicrobia,Arctic97B-4 marine group,,,,EU686604.16726.18273,c_Arctic97B-4 marine group,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Arctic97B-4 marine group;
891,OTU891,Bacteria,Proteobacteria,Gammaproteobacteria,E01-9C-26 marine group,,,EU686612.24178.25713,o_E01-9C-26 marine group,Bacteria;Proteobacteria;Gammaproteobacteria;UBA10353 marine group;
553,OTU553,Archaea,Thaumarchaeota,Marine Group I,,,,EU686615.30301.31771,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;
176,OTU176,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,,EU686616.36653.38121,f_Marine Group II,Archaea;Thermoplasmatota;Thermoplasmata;Marine Group II;
124,OTU124,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,,EU686618.3359.4826,f_Marine Group II,Archaea;Thermoplasmatota;Thermoplasmata;Marine Group II;
33,OTU33,Archaea,Thaumarchaeota,Marine Group I,,,,EU686623.12708.14181,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;
310,OTU310,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group III,,EU686628.16674.18140,f_Marine Group III,Archaea;Thermoplasmatota;Thermoplasmata;Marine Group III;
1060,OTU1060,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group III,,EU686636.3067.4530,f_Marine Group III,Archaea;Thermoplasmatota;Thermoplasmata;Marine Group III;
121,OTU121,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EU686640.25381.26914,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
211,OTU211,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,,EU686643.5839.7313,f_Marine Group II,Archaea;Thermoplasmatota;Thermoplasmata;Marine Group II;
2439,OTU2439,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Salinisphaeraceae,Salinisphaera,EU740417.1.1470,g_Salinisphaera,Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales;Salinisphaeraceae;Salinisphaera;
4226,OTU4226,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,EU781522.1.1468,g_Psychrobacter,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;
1341,OTU1341,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,,EU791574.1.914,f_Marine Group II,Archaea;Thermoplasmatota;Thermoplasmata;Marine Group II;
1283,OTU1283,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,NS9 marine group,,EU795094.11172.12675,f_NS9 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;NS9 marine group;
507,OTU507,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,SAR92 clade,EU795175.18550.20063,g_SAR92 clade,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Porticoccaceae;SAR92 clade;
1025,OTU1025,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,,EU795184.7277.8739,f_SAR116 clade,Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;SAR116 clade;
900,OTU900,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,EU795186.1137.2679,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
1015,OTU1015,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Salinisphaeraceae,ZD0417 marine group,EU795202.6061.7596,g_ZD0417 marine group,Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;
434,OTU434,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,EU795215.10977.12472,o_SAR324 clade(Marine group B),Bacteria;SAR324 clade(Marine group B);
1375,OTU1375,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Ulvibacter,EU795239.16117.17616,g_Ulvibacter,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Ulvibacter;
2368,OTU2368,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group,EU795244.966.2471,g_NS5 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;
1608,OTU1608,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group,EU795252.9081.10590,g_NS5 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;
48,OTU48,Bacteria,Planctomycetes,Planctomycetacia,Brocadiales,Brocadiaceae,Candidatus Scalindua,EU795287.4965.6516,g_Candidatus Scalindua,Bacteria;Planctomycetota;Brocadiae;Brocadiales;Scalinduaceae;Candidatus Scalindua;
805,OTU805,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,OM75 clade,EU799189.1.1462,g_OM75 clade,Bacteria;Proteobacteria;Alphaproteobacteria;Thalassobaculales;Nisaeaceae;OM75 clade;
1196,OTU1196,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,,EU799247.1.1450,f_SAR116 clade,Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;SAR116 clade;
1723,OTU1723,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,EU799269.1.1451,g_Thiothrix,Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;uncultured;
2949,OTU2949,Bacteria,Cyanobacteria,Chloroplast,,,,EU799354.1.1454,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
268,OTU268,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,,EU799440.1.1451,f_SAR116 clade,Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;SAR116 clade;
977,OTU977,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EU799540.1.1504,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
840,OTU840,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured,EU799541.1.1385,g_uncultured,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured;
667,OTU667,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,,EU799550.1.1480,f_OCS155 marine group,Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina;
1269,OTU1269,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,JTB255 marine benthic group,,EU799557.1.1286,f_JTB255 marine benthic group,Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia;
524,OTU524,Bacteria,Proteobacteria,Alphaproteobacteria,OCS116 clade,,,EU799585.1.1456,o_OCS116 clade,Bacteria;Proteobacteria;Alphaproteobacteria;Parvibaculales;OCS116 clade;
